feedback_id,user_id,session_id,feedback_date,journey_stage,rating,source,feedback_text,feedback_text_clean,sentiment_score,sentiment_label,theme_navigation,theme_pricing,theme_performance,theme_product_value
F00065,U0756,S00682,2026-03-08,product_detail,5,in_app,The 3D model was realistic and useful,the 3d model was realistic and useful,2,positive,0,0,0,1
F00066,U0005,S01306,2026-03-07,entry,2,post_session_survey,The page response time felt slow on mobile,the page response time felt slow on mobile,-1,negative,0,0,1,0
F00067,U0207,S00345,2026-03-13,entry,1,in_app,The page response time felt slow on mobile,the page response time felt slow on mobile,-1,negative,0,0,1,0
F00068,U0041,S01921,2026-03-12,browse,2,in_app,The 3D view looked interesting but performance was poor,the 3d view looked interesting but performance was poor,-1,negative,0,0,0,0
F00069,U0408,S00182,2026-03-13,entry,1,in_app,It was hard to find the information I needed,it was hard to find the information i needed,-1,negative,1,0,0,0
F00070,U0736,S02367,2026-03-04,entry,3,post_session_survey,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00071,U0131,S01850,2026-03-11,browse,1,post_session_survey,The journey felt unclear and I was not sure where to go next,the journey felt unclear and i was not sure where to go next,0,neutral,1,0,0,1
F00072,U0289,S00485,2026-03-06,entry,4,in_app,The experience was okay overall,the experience was okay overall,0,neutral,0,0,0,0
F00073,U0192,S00013,2026-03-06,product_detail,2,post_session_survey,Navigation was confusing and I could not figure out the next step,navigation was confusing and i could not figure out the next step,-2,negative,1,0,0,0
F00074,U0732,S01957,2026-03-09,product_detail,2,in_app,I kept clicking around and still could not find the pricing page,i kept clicking around and still could not find the pricing page,-1,negative,1,1,0,0
F00075,U0739,S01691,2026-03-16,entry,1,post_session_survey,It was hard to find pricing information,it was hard to find pricing information,-1,negative,1,1,0,0
F00076,U0178,S01744,2026-03-10,browse,2,in_app,I wanted to see pricing earlier in the journey,i wanted to see pricing earlier in the journey,0,neutral,1,1,0,0
F00077,U0724,S01847,2026-03-10,application,3,post_session_survey,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00078,U0147,S00181,2026-03-10,pricing,3,in_app,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00079,U0788,S00867,2026-03-16,browse,4,in_app,The 3D model was realistic and useful,the 3d model was realistic and useful,2,positive,0,0,0,1
F00080,U0372,S00282,2026-03-12,entry,2,post_session_survey,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00081,U0059,S02071,2026-03-02,entry,1,in_app,The journey felt unclear and I was not sure where to go next,the journey felt unclear and i was not sure where to go next,0,neutral,1,0,0,1
F00082,U0322,S01490,2026-03-08,entry,3,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00083,U0377,S00801,2026-03-03,product_detail,3,in_app,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00084,U0210,S00155,2026-03-07,entry,5,in_app,I liked how detailed the content was once I found it,i liked how detailed the content was once i found it,2,positive,0,0,0,1
F00085,U0334,S00757,2026-03-10,entry,2,in_app,It was hard to find the information I needed,it was hard to find the information i needed,-1,negative,1,0,0,0
F00086,U0207,S00788,2026-03-05,entry,1,post_session_survey,Loading felt too slow and made the experience frustrating,loading felt too slow and made the experience frustrating,-2,negative,0,0,1,0
F00087,U0588,S01745,2026-03-10,pricing,1,in_app,The journey felt unclear and I was not sure where to go next,the journey felt unclear and i was not sure where to go next,0,neutral,1,0,0,1
F00088,U0779,S01524,2026-03-08,product_detail,5,in_app,The showroom experience felt interactive and fun,the showroom experience felt interactive and fun,2,positive,0,0,0,1
F00089,U0092,S02130,2026-03-05,product_detail,5,post_session_survey,I liked the spec panel and the experience felt engaging,i liked the spec panel and the experience felt engaging,2,positive,0,0,0,1
F00090,U0727,S01137,2026-03-16,entry,2,in_app,The menu layout was not intuitive for a first-time user,the menu layout was not intuitive for a first time user,-1,negative,1,0,0,0
F00091,U0279,S00290,2026-03-02,entry,3,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00092,U0342,S01706,2026-03-07,application,3,in_app,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00093,U0111,S01820,2026-03-03,product_detail,3,in_app,I wanted to see pricing earlier in the journey,i wanted to see pricing earlier in the journey,0,neutral,1,1,0,0
F00094,U0343,S01347,2026-03-17,entry,3,post_session_survey,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00095,U0736,S01846,2026-03-11,product_detail,5,in_app,I liked the spec panel and the experience felt engaging,i liked the spec panel and the experience felt engaging,2,positive,0,0,0,1
F00096,U0493,S01190,2026-03-10,entry,1,in_app,The page response time felt slow on mobile,the page response time felt slow on mobile,-1,negative,0,0,1,0
F00097,U0770,S01257,2026-03-09,product_detail,4,post_session_survey,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00098,U0749,S01035,2026-03-08,browse,2,post_session_survey,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00099,U0613,S00058,2026-03-02,browse,2,in_app,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00100,U0772,S00265,2026-03-19,application,4,post_session_survey,The 3D model was realistic and useful,the 3d model was realistic and useful,2,positive,0,0,0,1
F00101,U0728,S00072,2026-03-02,entry,4,in_app,I liked how detailed the content was once I found it,i liked how detailed the content was once i found it,2,positive,0,0,0,1
F00102,U0526,S01520,2026-03-05,product_detail,4,in_app,The experience was okay overall,the experience was okay overall,0,neutral,0,0,0,0
F00103,U0712,S00764,2026-03-05,entry,4,in_app,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00104,U0475,S01223,2026-03-16,entry,5,in_app,The showroom experience felt interactive and fun,the showroom experience felt interactive and fun,2,positive,0,0,0,1
F00105,U0131,S02180,2026-03-03,product_detail,3,post_session_survey,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00106,U0432,S00608,2026-03-13,entry,4,in_app,The experience was okay overall,the experience was okay overall,0,neutral,0,0,0,0
F00107,U0599,S00992,2026-03-01,product_detail,3,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00108,U0713,S01807,2026-03-09,entry,2,post_session_survey,The 3D view looked interesting but performance was poor,the 3d view looked interesting but performance was poor,-1,negative,0,0,0,0
F00109,U0129,S00560,2026-03-05,browse,1,in_app,The menu layout was not intuitive for a first-time user,the menu layout was not intuitive for a first time user,-1,negative,1,0,0,0
F00110,U0718,S00188,2026-03-12,entry,2,in_app,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00111,U0636,S00706,2026-03-14,browse,2,post_session_survey,Loading felt too slow and made the experience frustrating,loading felt too slow and made the experience frustrating,-2,negative,0,0,1,0
F00112,U0153,S00394,2026-03-04,browse,2,in_app,It was hard to find the information I needed,it was hard to find the information i needed,-1,negative,1,0,0,0
F00113,U0024,S02237,2026-03-17,browse,3,in_app,The experience was okay overall,the experience was okay overall,0,neutral,0,0,0,0
F00114,U0780,S01938,2026-03-03,browse,5,post_session_survey,The product information was clear and easy to explore,the product information was clear and easy to explore,2,positive,0,0,0,1
F00115,U0414,S01514,2026-03-18,entry,1,in_app,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00116,U0038,S02090,2026-03-02,product_detail,2,in_app,There was too much lag during the early part of the session,there was too much lag during the early part of the session,-1,negative,0,0,1,0
F00117,U0436,S01925,2026-03-15,browse,4,post_session_survey,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00118,U0598,S00455,2026-03-06,application,4,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00119,U0334,S02143,2026-03-06,browse,2,in_app,The menu layout was not intuitive for a first-time user,the menu layout was not intuitive for a first time user,-1,negative,1,0,0,0
F00120,U0212,S01297,2026-03-07,entry,1,post_session_survey,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00121,U0786,S01936,2026-03-13,entry,4,in_app,The experience was okay overall,the experience was okay overall,0,neutral,0,0,0,0
F00122,U0135,S02152,2026-03-05,product_detail,1,in_app,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00123,U0232,S00772,2026-03-03,entry,3,post_session_survey,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00124,U0546,S00270,2026-03-14,browse,3,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00125,U0558,S00558,2026-03-04,browse,2,in_app,Navigation was confusing and I could not figure out the next step,navigation was confusing and i could not figure out the next step,-2,negative,1,0,0,0
F00126,U0646,S01034,2026-03-01,browse,2,in_app,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00127,U0268,S01964,2026-03-01,entry,5,post_session_survey,I liked how detailed the content was once I found it,i liked how detailed the content was once i found it,2,positive,0,0,0,1
F00128,U0178,S02065,2026-03-01,entry,4,in_app,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00129,U0051,S00016,2026-03-04,browse,5,in_app,I liked the spec panel and the experience felt engaging,i liked the spec panel and the experience felt engaging,2,positive,0,0,0,1
F00130,U0390,S01228,2026-03-14,browse,2,post_session_survey,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00131,U0090,S01008,2026-03-16,pricing,3,in_app,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00132,U0231,S00544,2026-03-01,browse,2,in_app,The pricing page was not easy to discover,the pricing page was not easy to discover,1,positive,0,1,0,0
F00133,U0279,S00290,2026-03-02,entry,3,post_session_survey,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00134,U0264,S00817,2026-03-09,pricing,3,in_app,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00135,U0167,S02265,2026-03-13,entry,1,in_app,The menu layout was not intuitive for a first-time user,the menu layout was not intuitive for a first time user,-1,negative,1,0,0,0
F00136,U0296,S00783,2026-03-11,browse,3,in_app,I wanted to see pricing earlier in the journey,i wanted to see pricing earlier in the journey,0,neutral,1,1,0,0
F00137,U0551,S01247,2026-03-07,application,3,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00138,U0328,S01683,2026-03-05,pricing,2,in_app,The journey felt unclear and I was not sure where to go next,the journey felt unclear and i was not sure where to go next,0,neutral,1,0,0,1
F00139,U0365,S00879,2026-03-05,entry,2,post_session_survey,Navigation was confusing and I could not figure out the next step,navigation was confusing and i could not figure out the next step,-2,negative,1,0,0,0
F00140,U0307,S02332,2026-03-09,product_detail,2,in_app,I wanted to see pricing earlier in the journey,i wanted to see pricing earlier in the journey,0,neutral,1,1,0,0
F00141,U0573,S02310,2026-03-06,pricing,2,post_session_survey,The 3D view looked interesting but performance was poor,the 3d view looked interesting but performance was poor,-1,negative,0,0,0,0
F00142,U0323,S00615,2026-03-20,entry,3,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00143,U0010,S01197,2026-03-12,pricing,3,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00144,U0345,S00733,2026-03-02,browse,4,post_session_survey,The 3D model was realistic and useful,the 3d model was realistic and useful,2,positive,0,0,0,1
F00145,U0310,S00692,2026-03-14,entry,2,in_app,I wanted to see pricing earlier in the journey,i wanted to see pricing earlier in the journey,0,neutral,1,1,0,0
F00146,U0570,S00086,2026-03-07,product_detail,4,in_app,It was easy to move from product details to pricing,it was easy to move from product details to pricing,1,positive,0,1,0,0
F00147,U0534,S01458,2026-03-10,application,1,in_app,There was too much lag during the early part of the session,there was too much lag during the early part of the session,-1,negative,0,0,1,0
F00148,U0612,S01209,2026-03-20,entry,2,post_session_survey,I kept clicking around and still could not find the pricing page,i kept clicking around and still could not find the pricing page,-1,negative,1,1,0,0
F00149,U0514,S00123,2026-03-19,browse,3,in_app,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00150,U0081,S00676,2026-03-05,entry,1,post_session_survey,I kept clicking around and still could not find the pricing page,i kept clicking around and still could not find the pricing page,-1,negative,1,1,0,0
F00151,U0718,S02182,2026-03-13,browse,4,in_app,The 3D model was realistic and useful,the 3d model was realistic and useful,2,positive,0,0,0,1
F00152,U0503,S00586,2026-03-04,entry,2,in_app,Loading felt too slow and made the experience frustrating,loading felt too slow and made the experience frustrating,-2,negative,0,0,1,0
F00153,U0612,S00353,2026-03-15,browse,3,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00154,U0487,S01177,2026-03-04,browse,1,in_app,The page response time felt slow on mobile,the page response time felt slow on mobile,-1,negative,0,0,1,0
F00155,U0341,S02365,2026-03-01,entry,3,in_app,I wanted to see pricing earlier in the journey,i wanted to see pricing earlier in the journey,0,neutral,1,1,0,0
F00156,U0720,S00593,2026-03-18,pricing,2,in_app,I kept clicking around and still could not find the pricing page,i kept clicking around and still could not find the pricing page,-1,negative,1,1,0,0
F00157,U0638,S01610,2026-03-20,entry,3,post_session_survey,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00158,U0059,S01823,2026-03-14,browse,4,in_app,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00159,U0700,S00582,2026-03-19,product_detail,3,post_session_survey,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00160,U0612,S01743,2026-03-11,entry,1,post_session_survey,Loading felt too slow and made the experience frustrating,loading felt too slow and made the experience frustrating,-2,negative,0,0,1,0
F00161,U0490,S00889,2026-03-14,pricing,3,post_session_survey,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00162,U0162,S01511,2026-03-10,pricing,2,post_session_survey,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00163,U0414,S01514,2026-03-18,entry,2,post_session_survey,I kept clicking around and still could not find the pricing page,i kept clicking around and still could not find the pricing page,-1,negative,1,1,0,0
F00164,U0136,S01288,2026-03-02,application,1,post_session_survey,I kept clicking around and still could not find the pricing page,i kept clicking around and still could not find the pricing page,-1,negative,1,1,0,0
F00165,U0107,S00223,2026-03-12,browse,3,in_app,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00166,U0640,S02006,2026-03-16,product_detail,3,post_session_survey,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00167,U0520,S00778,2026-03-15,entry,2,in_app,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00168,U0294,S00454,2026-03-01,entry,1,post_session_survey,There was too much lag during the early part of the session,there was too much lag during the early part of the session,-1,negative,0,0,1,0
F00169,U0629,S00095,2026-03-14,browse,1,in_app,Loading felt too slow and made the experience frustrating,loading felt too slow and made the experience frustrating,-2,negative,0,0,1,0
F00170,U0630,S01418,2026-03-17,browse,2,in_app,The page response time felt slow on mobile,the page response time felt slow on mobile,-1,negative,0,0,1,0
F00171,U0757,S01626,2026-03-20,browse,1,post_session_survey,It was hard to find pricing information,it was hard to find pricing information,-1,negative,1,1,0,0
F00172,U0118,S00039,2026-03-06,entry,2,in_app,There was too much lag during the early part of the session,there was too much lag during the early part of the session,-1,negative,0,0,1,0
F00173,U0483,S01231,2026-03-06,browse,3,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00174,U0485,S00555,2026-03-15,browse,3,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00175,U0646,S01543,2026-03-05,pricing,5,post_session_survey,The product information was clear and easy to explore,the product information was clear and easy to explore,2,positive,0,0,0,1
F00176,U0633,S00428,2026-03-10,product_detail,1,in_app,There was too much lag during the early part of the session,there was too much lag during the early part of the session,-1,negative,0,0,1,0
F00177,U0747,S01656,2026-03-08,product_detail,5,post_session_survey,I liked how detailed the content was once I found it,i liked how detailed the content was once i found it,2,positive,0,0,0,1
F00178,U0331,S00934,2026-03-19,product_detail,4,in_app,The layout was easy to use,the layout was easy to use,1,positive,1,0,0,0
F00179,U0430,S02252,2026-03-12,entry,5,post_session_survey,The product information was clear and easy to explore,the product information was clear and easy to explore,2,positive,0,0,0,1
F00180,U0159,S00336,2026-03-16,application,3,in_app,Some parts were useful but others were average,some parts were useful but others were average,1,positive,0,0,0,1
F00181,U0461,S00826,2026-03-11,entry,5,in_app,I liked the spec panel and the experience felt engaging,i liked the spec panel and the experience felt engaging,2,positive,0,0,0,1
F00182,U0124,S00277,2026-03-03,browse,3,post_session_survey,The experience was okay overall,the experience was okay overall,0,neutral,0,0,0,0
F00183,U0238,S02222,2026-03-13,application,2,post_session_survey,The app was slow and laggy on my phone,the app was slow and laggy on my phone,-3,negative,0,0,1,0
F00184,U0779,S02106,2026-03-10,browse,1,post_session_survey,The journey felt unclear and I was not sure where to go next,the journey felt unclear and i was not sure where to go next,0,neutral,1,0,0,1
F00185,U0411,S00629,2026-03-05,browse,1,in_app,Pricing details were buried and took too many clicks to reach,pricing details were buried and took too many clicks to reach,-1,negative,0,1,0,0
F00186,U0001,S01581,2026-03-05,browse,2,post_session_survey,Loading felt too slow and made the experience frustrating,loading felt too slow and made the experience frustrating,-2,negative,0,0,1,0
F00187,U0559,S01962,2026-03-08,product_detail,4,post_session_survey,The showroom experience felt interactive and fun,the showroom experience felt interactive and fun,2,positive,0,0,0,1
F00188,U0745,S01335,2026-03-02,pricing,4,in_app,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
F00189,U0520,S01275,2026-03-16,browse,3,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00190,U0626,S00592,2026-03-05,pricing,1,post_session_survey,Navigation was confusing and I could not figure out the next step,navigation was confusing and i could not figure out the next step,-2,negative,1,0,0,0
F00191,U0463,S00230,2026-03-06,product_detail,3,in_app,I looked through a few sections and then left,i looked through a few sections and then left,0,neutral,0,0,0,0
F00192,U0417,S02156,2026-03-01,application,4,in_app,The app worked fine but did not stand out,the app worked fine but did not stand out,0,neutral,0,0,0,0
F00193,U0529,S02165,2026-03-01,product_detail,3,in_app,I found some information but did not continue further,i found some information but did not continue further,0,neutral,0,0,0,0
