session_id,user_id,user_type,device_type,region,num_events,session_start_time,session_end_time,session_length_sec,viewed_3d_flag,viewed_specs_flag,viewed_pricing_flag,application_intent_flag,dropoff_stage
S00063,U0208,returning,mobile,East,7,2026-03-01 05:25:35,2026-03-01 05:28:27,171,1,0,1,0,pricing
S00064,U0536,returning,mobile,South,3,2026-03-13 06:41:57,2026-03-13 06:42:29,32,0,0,0,0,entry
S00065,U0345,new,mobile,North,5,2026-03-02 16:04:25,2026-03-02 16:05:47,81,0,0,0,0,product_detail
S00066,U0433,returning,mobile,North,4,2026-03-14 04:26:50,2026-03-14 04:28:41,111,0,0,0,0,browse
S00067,U0468,new,desktop,West,3,2026-03-01 04:33:26,2026-03-01 04:34:28,61,0,0,0,0,entry
S00068,U0440,returning,mobile,East,3,2026-03-04 06:13:48,2026-03-04 06:14:19,30,0,0,0,0,entry
S00069,U0268,new,mobile,East,3,2026-03-19 00:29:20,2026-03-19 00:30:12,51,0,0,0,0,entry
S00070,U0317,new,mobile,North,3,2026-03-07 20:08:05,2026-03-07 20:09:04,59,0,0,0,0,entry
S00071,U0407,new,desktop,East,5,2026-03-05 22:36:14,2026-03-05 22:38:29,135,0,0,0,0,product_detail
S00072,U0728,new,mobile,East,3,2026-03-02 05:35:33,2026-03-02 05:36:26,52,0,0,0,0,entry
S00073,U0456,new,mobile,South,4,2026-03-07 17:10:40,2026-03-07 17:11:15,35,0,0,0,0,browse
S00074,U0622,new,desktop,North,3,2026-03-16 11:08:43,2026-03-16 11:09:17,34,0,0,0,0,entry
S00075,U0327,returning,desktop,South,8,2026-03-14 09:22:37,2026-03-14 09:25:01,143,1,0,1,1,application
S00076,U0193,new,desktop,East,6,2026-03-09 23:05:02,2026-03-09 23:07:18,136,1,0,0,0,product_detail
S00077,U0716,returning,mobile,West,6,2026-03-08 11:34:24,2026-03-08 11:35:59,95,0,1,0,0,product_detail
S00078,U0400,new,mobile,East,4,2026-03-09 14:01:57,2026-03-09 14:03:49,112,0,0,0,0,browse
S00079,U0210,returning,mobile,South,4,2026-03-06 17:54:34,2026-03-06 17:55:33,59,0,0,0,0,browse
S00080,U0244,returning,mobile,East,5,2026-03-05 08:29:06,2026-03-05 08:30:41,95,0,0,0,0,product_detail
S00081,U0694,returning,mobile,South,5,2026-03-20 02:40:44,2026-03-20 02:42:02,78,0,0,0,0,product_detail
S00082,U0688,returning,mobile,North,7,2026-03-05 20:15:34,2026-03-05 20:17:37,122,1,1,0,0,product_detail
S00083,U0001,new,desktop,South,5,2026-03-10 16:07:23,2026-03-10 16:08:38,74,0,0,0,0,product_detail
S00084,U0224,returning,mobile,South,4,2026-03-16 13:41:24,2026-03-16 13:43:07,103,0,0,0,0,browse
S00085,U0520,new,mobile,West,4,2026-03-01 16:04:42,2026-03-01 16:05:28,46,0,0,0,0,browse
S00086,U0570,returning,mobile,South,5,2026-03-07 10:38:43,2026-03-07 10:40:12,89,0,0,0,0,product_detail
S00087,U0466,returning,mobile,East,6,2026-03-18 16:24:29,2026-03-18 16:26:53,144,0,1,0,0,product_detail
S00088,U0455,new,desktop,South,6,2026-03-14 23:53:12,2026-03-14 23:54:29,76,1,0,0,0,product_detail
S00089,U0120,new,mobile,West,3,2026-03-20 13:49:35,2026-03-20 13:50:29,54,0,0,0,0,entry
S00090,U0021,returning,mobile,North,5,2026-03-11 11:14:56,2026-03-11 11:16:36,100,0,0,0,0,product_detail
S00091,U0007,new,desktop,East,4,2026-03-18 11:17:14,2026-03-18 11:18:36,81,0,0,0,0,browse
S00092,U0248,new,desktop,West,3,2026-03-08 22:00:55,2026-03-08 22:01:46,51,0,0,0,0,entry
S00093,U0102,new,desktop,North,4,2026-03-04 02:09:01,2026-03-04 02:10:15,74,0,0,0,0,browse
S00094,U0553,new,desktop,South,3,2026-03-15 22:33:48,2026-03-15 22:34:51,62,0,0,0,0,entry
S00095,U0629,new,mobile,South,4,2026-03-14 07:11:47,2026-03-14 07:12:36,48,0,0,0,0,browse
S00096,U0786,new,desktop,South,7,2026-03-11 10:25:40,2026-03-11 10:29:17,216,0,1,1,0,pricing
S00097,U0134,returning,mobile,South,7,2026-03-17 09:34:53,2026-03-17 09:37:05,132,1,0,0,1,application
S00098,U0417,returning,desktop,East,4,2026-03-17 02:43:22,2026-03-17 02:45:14,112,0,0,0,0,browse
S00099,U0755,returning,mobile,East,8,2026-03-20 20:45:58,2026-03-20 20:47:38,100,1,0,1,1,application
S00100,U0710,returning,mobile,South,7,2026-03-12 12:47:13,2026-03-12 12:50:31,198,1,1,0,0,product_detail
S00101,U0268,new,mobile,East,6,2026-03-18 10:28:00,2026-03-18 10:30:04,124,0,1,0,0,product_detail
S00102,U0172,returning,mobile,South,3,2026-03-17 16:34:08,2026-03-17 16:34:22,14,0,0,0,0,entry
S00103,U0075,returning,mobile,South,3,2026-03-06 07:29:03,2026-03-06 07:29:55,51,0,0,0,0,entry
S00104,U0447,returning,desktop,South,7,2026-03-02 05:15:15,2026-03-02 05:17:42,147,1,0,1,0,pricing
S00105,U0021,returning,mobile,North,7,2026-03-14 13:35:51,2026-03-14 13:39:19,207,0,1,1,0,pricing
S00106,U0628,returning,desktop,East,4,2026-03-11 19:45:48,2026-03-11 19:47:08,80,0,0,0,0,browse
S00107,U0146,new,desktop,North,3,2026-03-19 05:56:30,2026-03-19 05:57:33,62,0,0,0,0,entry
S00108,U0723,returning,desktop,North,5,2026-03-19 14:07:07,2026-03-19 14:09:22,134,0,0,0,0,product_detail
S00109,U0662,new,mobile,West,5,2026-03-11 16:14:39,2026-03-11 16:15:49,69,0,0,0,0,product_detail
S00110,U0273,returning,mobile,West,3,2026-03-08 18:14:39,2026-03-08 18:15:26,46,0,0,0,0,entry
S00111,U0761,new,desktop,East,4,2026-03-04 15:51:54,2026-03-04 15:52:53,59,0,0,0,0,browse
S00112,U0417,returning,desktop,East,5,2026-03-02 13:24:57,2026-03-02 13:27:00,123,0,0,0,0,product_detail
S00113,U0030,returning,mobile,West,3,2026-03-11 02:12:21,2026-03-11 02:12:45,23,0,0,0,0,entry
S00114,U0173,returning,mobile,North,4,2026-03-10 10:53:12,2026-03-10 10:54:38,85,0,0,0,0,browse
S00115,U0596,returning,desktop,West,3,2026-03-12 13:51:39,2026-03-12 13:52:09,29,0,0,0,0,entry
S00116,U0330,new,desktop,East,3,2026-03-19 06:55:51,2026-03-19 06:56:49,58,0,0,0,0,entry
S00117,U0370,returning,desktop,West,8,2026-03-19 03:27:33,2026-03-19 03:30:56,202,1,1,1,0,pricing
S00118,U0424,new,mobile,North,7,2026-03-01 16:54:29,2026-03-01 16:56:50,140,1,0,1,0,pricing
S00119,U0618,new,mobile,East,4,2026-03-13 23:08:58,2026-03-13 23:10:13,74,0,0,0,0,browse
S00120,U0024,returning,mobile,South,8,2026-03-17 02:13:31,2026-03-17 02:16:01,149,1,0,1,1,application
S00121,U0778,new,mobile,South,3,2026-03-07 07:33:07,2026-03-07 07:33:59,51,0,0,0,0,entry
S00122,U0279,new,mobile,South,4,2026-03-12 00:52:53,2026-03-12 00:54:10,76,0,0,0,0,browse
S00123,U0514,new,desktop,West,4,2026-03-19 06:04:38,2026-03-19 06:05:37,59,0,0,0,0,browse
S00124,U0702,new,desktop,South,7,2026-03-01 11:17:29,2026-03-01 11:19:51,141,1,0,0,1,application
S00125,U0563,new,mobile,East,7,2026-03-01 23:27:07,2026-03-01 23:28:48,101,1,1,0,0,product_detail
S00126,U0168,new,mobile,East,7,2026-03-04 01:31:44,2026-03-04 01:34:19,155,1,0,1,0,pricing
S00127,U0501,new,mobile,West,7,2026-03-05 01:44:39,2026-03-05 01:47:01,141,1,0,1,0,pricing
S00128,U0370,returning,desktop,West,7,2026-03-01 14:57:31,2026-03-01 14:59:55,143,0,1,1,0,pricing
S00129,U0581,returning,desktop,South,6,2026-03-17 18:18:43,2026-03-17 18:21:01,138,1,0,0,0,product_detail
S00130,U0197,new,desktop,South,3,2026-03-20 07:50:09,2026-03-20 07:50:55,45,0,0,0,0,entry
S00131,U0761,new,desktop,East,5,2026-03-13 22:20:47,2026-03-13 22:22:29,102,0,0,0,0,product_detail
S00132,U0233,returning,mobile,East,7,2026-03-09 06:46:53,2026-03-09 06:49:10,137,1,1,0,0,product_detail
S00133,U0238,returning,mobile,South,4,2026-03-12 03:49:03,2026-03-12 03:50:02,59,0,0,0,0,browse
S00134,U0450,returning,mobile,East,9,2026-03-16 18:55:08,2026-03-16 18:59:30,261,1,1,1,1,application
S00135,U0355,new,mobile,North,7,2026-03-06 23:00:40,2026-03-06 23:03:14,154,1,0,1,0,pricing
S00136,U0457,returning,mobile,East,5,2026-03-17 05:14:52,2026-03-17 05:16:25,92,0,0,0,0,product_detail
S00137,U0454,new,mobile,East,6,2026-03-05 09:55:45,2026-03-05 09:57:48,123,1,0,0,0,product_detail
S00138,U0243,new,mobile,South,3,2026-03-15 11:17:07,2026-03-15 11:18:07,59,0,0,0,0,entry
S00139,U0329,new,desktop,North,8,2026-03-13 12:57:25,2026-03-13 13:00:12,167,1,1,1,0,pricing
S00140,U0466,returning,mobile,East,4,2026-03-16 16:15:56,2026-03-16 16:17:08,72,0,0,0,0,browse
S00141,U0324,new,desktop,West,3,2026-03-08 03:24:16,2026-03-08 03:25:03,47,0,0,0,0,entry
S00142,U0136,returning,mobile,East,5,2026-03-08 10:22:40,2026-03-08 10:25:01,140,0,0,0,0,product_detail
S00143,U0700,new,mobile,West,6,2026-03-09 08:15:11,2026-03-09 08:17:45,154,0,1,0,0,product_detail
S00144,U0132,returning,mobile,North,6,2026-03-08 10:37:15,2026-03-08 10:38:44,89,0,0,1,0,pricing
S00145,U0132,returning,mobile,North,3,2026-03-19 00:45:34,2026-03-19 00:46:27,52,0,0,0,0,entry
S00146,U0599,new,mobile,West,6,2026-03-06 06:03:11,2026-03-06 06:06:06,174,1,0,0,0,product_detail
S00147,U0211,new,mobile,East,6,2026-03-03 10:33:38,2026-03-03 10:35:16,98,0,1,0,0,product_detail
S00148,U0774,new,desktop,East,3,2026-03-01 08:14:31,2026-03-01 08:15:21,50,0,0,0,0,entry
S00149,U0614,new,mobile,South,3,2026-03-02 02:30:53,2026-03-02 02:31:39,46,0,0,0,0,entry
S00150,U0590,returning,mobile,South,3,2026-03-17 22:16:30,2026-03-17 22:17:26,55,0,0,0,0,entry
S00151,U0548,returning,mobile,East,7,2026-03-03 11:45:41,2026-03-03 11:48:27,166,1,0,1,0,pricing
S00152,U0337,returning,mobile,North,7,2026-03-05 11:23:58,2026-03-05 11:25:47,108,1,0,1,0,pricing
S00153,U0173,returning,mobile,North,4,2026-03-02 19:09:21,2026-03-02 19:10:52,90,0,0,0,0,browse
S00154,U0452,new,desktop,South,3,2026-03-04 14:54:50,2026-03-04 14:55:53,63,0,0,0,0,entry
S00155,U0210,returning,mobile,South,3,2026-03-07 00:34:54,2026-03-07 00:35:44,50,0,0,0,0,entry
S00156,U0019,new,desktop,South,6,2026-03-15 17:12:20,2026-03-15 17:15:08,168,0,0,1,0,pricing
S00157,U0522,new,mobile,East,4,2026-03-11 17:54:13,2026-03-11 17:55:48,95,0,0,0,0,browse
S00158,U0397,returning,mobile,South,4,2026-03-14 19:15:02,2026-03-14 19:16:35,92,0,0,0,0,browse
S00159,U0062,new,desktop,North,8,2026-03-19 12:19:35,2026-03-19 12:21:55,140,1,1,1,0,pricing
S00160,U0642,new,mobile,East,3,2026-03-14 09:33:31,2026-03-14 09:33:53,22,0,0,0,0,entry
S00161,U0091,new,mobile,North,3,2026-03-10 21:58:43,2026-03-10 21:59:57,74,0,0,0,0,entry
S00162,U0202,new,desktop,West,3,2026-03-08 01:40:15,2026-03-08 01:40:39,23,0,0,0,0,entry
S00163,U0193,new,desktop,East,6,2026-03-18 03:49:53,2026-03-18 03:51:34,100,1,0,0,0,product_detail
S00164,U0356,new,mobile,East,8,2026-03-15 07:34:38,2026-03-15 07:37:30,172,1,1,1,0,pricing
S00165,U0067,returning,desktop,South,6,2026-03-04 10:51:31,2026-03-04 10:53:05,94,1,0,0,0,product_detail
S00166,U0172,returning,mobile,South,5,2026-03-08 00:07:40,2026-03-08 00:09:19,98,0,0,0,0,product_detail
S00167,U0500,returning,mobile,East,4,2026-03-07 14:35:41,2026-03-07 14:37:30,109,0,0,0,0,browse
S00168,U0110,new,desktop,South,3,2026-03-02 22:51:38,2026-03-02 22:52:26,47,0,0,0,0,entry
S00169,U0420,new,mobile,East,5,2026-03-18 19:53:49,2026-03-18 19:55:20,90,0,0,0,0,product_detail
S00170,U0533,returning,mobile,East,7,2026-03-06 13:21:29,2026-03-06 13:24:02,153,1,1,0,0,product_detail
S00171,U0267,new,desktop,East,8,2026-03-12 10:05:11,2026-03-12 10:08:53,222,1,1,1,0,pricing
S00172,U0336,new,mobile,West,7,2026-03-20 18:19:55,2026-03-20 18:22:34,159,1,1,0,0,product_detail
S00173,U0144,new,mobile,West,3,2026-03-17 06:22:51,2026-03-17 06:23:15,23,0,0,0,0,entry
S00174,U0189,returning,mobile,East,6,2026-03-10 23:48:02,2026-03-10 23:50:13,131,0,1,0,0,product_detail
S00175,U0465,returning,mobile,West,8,2026-03-03 03:17:54,2026-03-03 03:20:22,148,1,1,0,1,application
S00176,U0191,new,mobile,East,4,2026-03-12 05:07:14,2026-03-12 05:08:07,52,0,0,0,0,browse
S00177,U0444,returning,desktop,West,7,2026-03-09 18:45:06,2026-03-09 18:48:04,178,1,1,0,0,product_detail
S00178,U0407,new,desktop,East,6,2026-03-14 07:56:37,2026-03-14 07:58:29,111,0,1,0,0,product_detail
S00179,U0765,new,mobile,East,3,2026-03-16 07:00:52,2026-03-16 07:01:53,61,0,0,0,0,entry
S00180,U0066,new,desktop,East,3,2026-03-08 13:01:30,2026-03-08 13:02:13,43,0,0,0,0,entry
S00181,U0147,returning,mobile,East,7,2026-03-10 21:40:18,2026-03-10 21:42:25,126,1,0,1,0,pricing
S00182,U0408,new,mobile,South,3,2026-03-13 02:19:29,2026-03-13 02:20:27,58,0,0,0,0,entry
S00183,U0268,new,mobile,East,6,2026-03-11 02:02:26,2026-03-11 02:05:05,159,0,1,0,0,product_detail
S00184,U0095,returning,mobile,West,4,2026-03-10 07:27:18,2026-03-10 07:28:52,94,0,0,0,0,browse
S00185,U0716,returning,mobile,West,7,2026-03-02 16:40:02,2026-03-02 16:42:19,137,1,1,0,0,product_detail
S00186,U0287,new,desktop,West,7,2026-03-18 14:57:19,2026-03-18 15:00:24,185,1,1,0,0,product_detail
S00187,U0621,new,desktop,West,5,2026-03-12 18:08:57,2026-03-12 18:11:05,128,0,0,0,0,product_detail
S00188,U0718,new,mobile,West,3,2026-03-12 01:15:26,2026-03-12 01:16:06,40,0,0,0,0,entry
S00189,U0759,returning,mobile,East,6,2026-03-14 21:05:46,2026-03-14 21:07:32,105,0,1,0,0,product_detail
S00190,U0645,returning,mobile,North,3,2026-03-18 02:49:30,2026-03-18 02:50:26,56,0,0,0,0,entry
S00191,U0606,new,mobile,South,6,2026-03-04 16:36:27,2026-03-04 16:38:37,130,0,1,0,0,product_detail
S00192,U0405,returning,mobile,South,3,2026-03-03 10:27:59,2026-03-03 10:28:41,41,0,0,0,0,entry
S00193,U0081,new,desktop,South,4,2026-03-12 02:10:47,2026-03-12 02:11:34,46,0,0,0,0,browse
S00194,U0598,returning,desktop,North,7,2026-03-04 17:55:18,2026-03-04 17:57:57,158,1,1,0,0,product_detail
S00195,U0187,new,desktop,North,3,2026-03-02 22:47:13,2026-03-02 22:48:16,63,0,0,0,0,entry
S00196,U0396,new,mobile,South,7,2026-03-08 16:28:06,2026-03-08 16:31:00,173,0,1,1,0,pricing
S00197,U0705,new,mobile,East,7,2026-03-16 07:40:40,2026-03-16 07:42:54,133,1,0,0,1,application
S00198,U0139,new,mobile,West,6,2026-03-11 18:27:41,2026-03-11 18:28:53,72,1,0,0,0,product_detail
S00199,U0260,new,desktop,East,7,2026-03-08 02:53:56,2026-03-08 02:56:29,153,1,1,0,0,product_detail
S00200,U0007,new,desktop,East,3,2026-03-14 17:40:37,2026-03-14 17:41:06,29,0,0,0,0,entry
S00201,U0174,new,mobile,East,6,2026-03-02 22:00:08,2026-03-02 22:02:56,168,1,0,0,0,product_detail
S00202,U0737,returning,mobile,North,7,2026-03-04 11:22:19,2026-03-04 11:25:07,168,0,1,1,0,pricing
S00203,U0319,returning,mobile,North,6,2026-03-20 12:43:57,2026-03-20 12:45:52,114,0,0,0,1,application
S00204,U0423,new,desktop,East,6,2026-03-09 09:18:23,2026-03-09 09:21:02,158,1,0,0,0,product_detail
S00205,U0730,returning,desktop,North,4,2026-03-08 07:59:55,2026-03-08 08:01:13,78,0,0,0,0,browse
S00206,U0630,new,mobile,South,3,2026-03-06 18:10:56,2026-03-06 18:12:04,68,0,0,0,0,entry
S00207,U0206,returning,mobile,North,6,2026-03-14 22:51:07,2026-03-14 22:52:46,98,1,0,0,0,product_detail
S00208,U0360,new,desktop,East,7,2026-03-14 17:40:39,2026-03-14 17:43:25,166,1,1,0,0,product_detail
S00209,U0734,new,mobile,South,3,2026-03-06 07:34:45,2026-03-06 07:35:45,60,0,0,0,0,entry
S00210,U0424,new,mobile,North,4,2026-03-07 02:00:02,2026-03-07 02:01:08,66,0,0,0,0,browse
S00211,U0256,returning,mobile,West,9,2026-03-16 16:31:14,2026-03-16 16:33:50,155,1,1,1,1,application
S00212,U0490,returning,mobile,South,8,2026-03-08 22:19:39,2026-03-08 22:22:34,175,1,1,0,1,application
S00213,U0451,returning,desktop,North,4,2026-03-07 14:45:31,2026-03-07 14:46:39,67,0,0,0,0,browse
S00214,U0127,returning,mobile,West,6,2026-03-19 02:54:08,2026-03-19 02:55:38,89,0,1,0,0,product_detail
S00215,U0463,returning,mobile,East,8,2026-03-17 09:59:13,2026-03-17 10:01:50,156,0,1,1,1,application
S00216,U0036,returning,mobile,North,6,2026-03-03 23:59:44,2026-03-04 00:02:13,148,0,0,1,0,pricing
S00217,U0305,new,desktop,South,3,2026-03-10 00:23:56,2026-03-10 00:24:24,27,0,0,0,0,entry
S00218,U0078,returning,mobile,North,7,2026-03-01 14:34:40,2026-03-01 14:38:12,212,1,0,1,0,pricing
S00219,U0769,new,mobile,South,3,2026-03-16 10:08:58,2026-03-16 10:09:54,55,0,0,0,0,entry
S00220,U0252,returning,mobile,South,8,2026-03-10 21:50:58,2026-03-10 21:52:42,103,1,0,1,1,application
S00221,U0400,new,mobile,East,3,2026-03-06 16:46:51,2026-03-06 16:47:41,50,0,0,0,0,entry
S00222,U0551,returning,mobile,North,8,2026-03-12 00:15:59,2026-03-12 00:19:43,223,1,1,0,1,application
S00223,U0107,new,mobile,North,4,2026-03-12 21:03:55,2026-03-12 21:05:29,93,0,0,0,0,browse
S00224,U0007,new,desktop,East,4,2026-03-17 18:07:03,2026-03-17 18:08:19,75,0,0,0,0,browse
S00225,U0562,returning,mobile,East,5,2026-03-06 17:32:44,2026-03-06 17:34:26,102,0,0,0,0,product_detail
S00226,U0324,new,desktop,West,3,2026-03-09 16:56:33,2026-03-09 16:57:09,36,0,0,0,0,entry
S00227,U0375,new,mobile,North,5,2026-03-05 14:34:17,2026-03-05 14:35:27,69,0,0,0,0,product_detail
S00228,U0686,new,mobile,East,8,2026-03-16 12:31:53,2026-03-16 12:34:23,149,1,1,1,0,pricing
S00229,U0329,new,desktop,North,3,2026-03-02 15:58:05,2026-03-02 15:59:01,55,0,0,0,0,entry
S00230,U0463,returning,mobile,East,6,2026-03-06 05:48:02,2026-03-06 05:49:44,102,0,1,0,0,product_detail
S00231,U0177,new,desktop,North,7,2026-03-04 12:17:12,2026-03-04 12:18:53,101,0,1,1,0,pricing
S00232,U0761,new,desktop,East,3,2026-03-01 08:39:24,2026-03-01 08:40:09,44,0,0,0,0,entry
S00233,U0515,new,mobile,South,3,2026-03-08 20:36:37,2026-03-08 20:36:57,20,0,0,0,0,entry
S00234,U0492,new,mobile,East,5,2026-03-02 06:31:28,2026-03-02 06:32:58,89,0,0,0,0,product_detail
S00235,U0199,new,mobile,East,3,2026-03-12 13:26:00,2026-03-12 13:26:59,59,0,0,0,0,entry
S00236,U0084,new,mobile,East,3,2026-03-15 09:50:07,2026-03-15 09:50:49,42,0,0,0,0,entry
S00237,U0474,returning,mobile,South,5,2026-03-06 09:03:43,2026-03-06 09:05:32,109,0,0,0,0,product_detail
S00238,U0361,returning,mobile,South,6,2026-03-16 14:46:23,2026-03-16 14:48:09,105,0,1,0,0,product_detail
