feedback_id,user_id,session_id,feedback_date,journey_stage,rating,feedback_text,source
F00072,U0289,S00485,2026-03-06,entry,4,The experience was okay overall,in_app
F00073,U0192,S00013,2026-03-06,product_detail,2,Navigation was confusing and I could not figure out the next step,post_session_survey
F00074,U0732,S01957,2026-03-09,product_detail,2,I kept clicking around and still could not find the pricing page,in_app
F00075,U0739,S01691,2026-03-16,entry,1,It was hard to find pricing information,post_session_survey
F00076,U0178,S01744,2026-03-10,browse,2,I wanted to see pricing earlier in the journey,in_app
F00077,U0724,S01847,2026-03-10,application,3,Some parts were useful but others were average,post_session_survey
F00078,U0147,S00181,2026-03-10,pricing,3,I found some information but did not continue further,in_app
F00079,U0788,S00867,2026-03-16,browse,4,The 3D model was realistic and useful,in_app
F00080,U0372,S00282,2026-03-12,entry,2,The app was slow and laggy on my phone,post_session_survey
F00081,U0059,S02071,2026-03-02,entry,1,The journey felt unclear and I was not sure where to go next,in_app
F00082,U0322,S01490,2026-03-08,entry,3,I looked through a few sections and then left,in_app
F00083,U0377,S00801,2026-03-03,product_detail,3,Some parts were useful but others were average,in_app
F00084,U0210,S00155,2026-03-07,entry,5,I liked how detailed the content was once I found it,in_app
F00085,U0334,S00757,2026-03-10,entry,2,It was hard to find the information I needed,in_app
F00086,U0207,S00788,2026-03-05,entry,1,Loading felt too slow and made the experience frustrating,post_session_survey
F00087,U0588,S01745,2026-03-10,pricing,1,The journey felt unclear and I was not sure where to go next,in_app
F00088,U0779,S01524,2026-03-08,product_detail,5,The showroom experience felt interactive and fun,in_app
F00089,U0092,S02130,2026-03-05,product_detail,5,I liked the spec panel and the experience felt engaging,post_session_survey
F00090,U0727,S01137,2026-03-16,entry,2,The menu layout was not intuitive for a first-time user,in_app
F00091,U0279,S00290,2026-03-02,entry,3,I looked through a few sections and then left,in_app
F00092,U0342,S01706,2026-03-07,application,3,Some parts were useful but others were average,in_app
F00093,U0111,S01820,2026-03-03,product_detail,3,I wanted to see pricing earlier in the journey,in_app
F00094,U0343,S01347,2026-03-17,entry,3,The app worked fine but did not stand out,post_session_survey
F00095,U0736,S01846,2026-03-11,product_detail,5,I liked the spec panel and the experience felt engaging,in_app
F00096,U0493,S01190,2026-03-10,entry,1,The page response time felt slow on mobile,in_app
F00097,U0770,S01257,2026-03-09,product_detail,4,I looked through a few sections and then left,post_session_survey
F00098,U0749,S01035,2026-03-08,browse,2,The app was slow and laggy on my phone,post_session_survey
F00099,U0613,S00058,2026-03-02,browse,2,The app was slow and laggy on my phone,in_app
F00100,U0772,S00265,2026-03-19,application,4,The 3D model was realistic and useful,post_session_survey
F00101,U0728,S00072,2026-03-02,entry,4,I liked how detailed the content was once I found it,in_app
F00102,U0526,S01520,2026-03-05,product_detail,4,The experience was okay overall,in_app
F00103,U0712,S00764,2026-03-05,entry,4,I found some information but did not continue further,in_app
F00104,U0475,S01223,2026-03-16,entry,5,The showroom experience felt interactive and fun,in_app
F00105,U0131,S02180,2026-03-03,product_detail,3,The app worked fine but did not stand out,post_session_survey
F00106,U0432,S00608,2026-03-13,entry,4,The experience was okay overall,in_app
F00107,U0599,S00992,2026-03-01,product_detail,3,I looked through a few sections and then left,in_app
F00108,U0713,S01807,2026-03-09,entry,2,The 3D view looked interesting but performance was poor,post_session_survey
F00109,U0129,S00560,2026-03-05,browse,1,The menu layout was not intuitive for a first-time user,in_app
F00110,U0718,S00188,2026-03-12,entry,2,The app was slow and laggy on my phone,in_app
F00111,U0636,S00706,2026-03-14,browse,2,Loading felt too slow and made the experience frustrating,post_session_survey
F00112,U0153,S00394,2026-03-04,browse,2,It was hard to find the information I needed,in_app
F00113,U0024,S02237,2026-03-17,browse,3,The experience was okay overall,in_app
F00114,U0780,S01938,2026-03-03,browse,5,The product information was clear and easy to explore,post_session_survey
F00115,U0414,S01514,2026-03-18,entry,1,The app was slow and laggy on my phone,in_app
F00116,U0038,S02090,2026-03-02,product_detail,2,There was too much lag during the early part of the session,in_app
F00117,U0436,S01925,2026-03-15,browse,4,The app worked fine but did not stand out,post_session_survey
F00118,U0598,S00455,2026-03-06,application,4,I looked through a few sections and then left,in_app
F00119,U0334,S02143,2026-03-06,browse,2,The menu layout was not intuitive for a first-time user,in_app
F00120,U0212,S01297,2026-03-07,entry,1,The app was slow and laggy on my phone,post_session_survey
F00121,U0786,S01936,2026-03-13,entry,4,The experience was okay overall,in_app
F00122,U0135,S02152,2026-03-05,product_detail,1,The app was slow and laggy on my phone,in_app
F00123,U0232,S00772,2026-03-03,entry,3,I found some information but did not continue further,post_session_survey
F00124,U0546,S00270,2026-03-14,browse,3,The app worked fine but did not stand out,in_app
F00125,U0558,S00558,2026-03-04,browse,2,Navigation was confusing and I could not figure out the next step,in_app
F00126,U0646,S01034,2026-03-01,browse,2,The app was slow and laggy on my phone,in_app
F00127,U0268,S01964,2026-03-01,entry,5,I liked how detailed the content was once I found it,post_session_survey
F00128,U0178,S02065,2026-03-01,entry,4,I found some information but did not continue further,in_app
F00129,U0051,S00016,2026-03-04,browse,5,I liked the spec panel and the experience felt engaging,in_app
F00130,U0390,S01228,2026-03-14,browse,2,The app was slow and laggy on my phone,post_session_survey
F00131,U0090,S01008,2026-03-16,pricing,3,I found some information but did not continue further,in_app
F00132,U0231,S00544,2026-03-01,browse,2,The pricing page was not easy to discover,in_app
F00133,U0279,S00290,2026-03-02,entry,3,I looked through a few sections and then left,post_session_survey
F00134,U0264,S00817,2026-03-09,pricing,3,I found some information but did not continue further,in_app
F00135,U0167,S02265,2026-03-13,entry,1,The menu layout was not intuitive for a first-time user,in_app
F00136,U0296,S00783,2026-03-11,browse,3,I wanted to see pricing earlier in the journey,in_app
F00137,U0551,S01247,2026-03-07,application,3,The app worked fine but did not stand out,in_app
F00138,U0328,S01683,2026-03-05,pricing,2,The journey felt unclear and I was not sure where to go next,in_app
F00139,U0365,S00879,2026-03-05,entry,2,Navigation was confusing and I could not figure out the next step,post_session_survey
F00140,U0307,S02332,2026-03-09,product_detail,2,I wanted to see pricing earlier in the journey,in_app
F00141,U0573,S02310,2026-03-06,pricing,2,The 3D view looked interesting but performance was poor,post_session_survey
F00142,U0323,S00615,2026-03-20,entry,3,The app worked fine but did not stand out,in_app
F00143,U0010,S01197,2026-03-12,pricing,3,I looked through a few sections and then left,in_app
F00144,U0345,S00733,2026-03-02,browse,4,The 3D model was realistic and useful,post_session_survey
F00145,U0310,S00692,2026-03-14,entry,2,I wanted to see pricing earlier in the journey,in_app
F00146,U0570,S00086,2026-03-07,product_detail,4,It was easy to move from product details to pricing,in_app
F00147,U0534,S01458,2026-03-10,application,1,There was too much lag during the early part of the session,in_app
F00148,U0612,S01209,2026-03-20,entry,2,I kept clicking around and still could not find the pricing page,post_session_survey
F00149,U0514,S00123,2026-03-19,browse,3,Some parts were useful but others were average,in_app
F00150,U0081,S00676,2026-03-05,entry,1,I kept clicking around and still could not find the pricing page,post_session_survey
F00151,U0718,S02182,2026-03-13,browse,4,The 3D model was realistic and useful,in_app
F00152,U0503,S00586,2026-03-04,entry,2,Loading felt too slow and made the experience frustrating,in_app
F00153,U0612,S00353,2026-03-15,browse,3,The app worked fine but did not stand out,in_app
F00154,U0487,S01177,2026-03-04,browse,1,The page response time felt slow on mobile,in_app
F00155,U0341,S02365,2026-03-01,entry,3,I wanted to see pricing earlier in the journey,in_app
F00156,U0720,S00593,2026-03-18,pricing,2,I kept clicking around and still could not find the pricing page,in_app
F00157,U0638,S01610,2026-03-20,entry,3,Some parts were useful but others were average,post_session_survey
F00158,U0059,S01823,2026-03-14,browse,4,I found some information but did not continue further,in_app
F00159,U0700,S00582,2026-03-19,product_detail,3,I found some information but did not continue further,post_session_survey
F00160,U0612,S01743,2026-03-11,entry,1,Loading felt too slow and made the experience frustrating,post_session_survey
F00161,U0490,S00889,2026-03-14,pricing,3,The app worked fine but did not stand out,post_session_survey
F00162,U0162,S01511,2026-03-10,pricing,2,The app was slow and laggy on my phone,post_session_survey
F00163,U0414,S01514,2026-03-18,entry,2,I kept clicking around and still could not find the pricing page,post_session_survey
F00164,U0136,S01288,2026-03-02,application,1,I kept clicking around and still could not find the pricing page,post_session_survey
F00165,U0107,S00223,2026-03-12,browse,3,Some parts were useful but others were average,in_app
F00166,U0640,S02006,2026-03-16,product_detail,3,I found some information but did not continue further,post_session_survey
F00167,U0520,S00778,2026-03-15,entry,2,The app was slow and laggy on my phone,in_app
F00168,U0294,S00454,2026-03-01,entry,1,There was too much lag during the early part of the session,post_session_survey
F00169,U0629,S00095,2026-03-14,browse,1,Loading felt too slow and made the experience frustrating,in_app
F00170,U0630,S01418,2026-03-17,browse,2,The page response time felt slow on mobile,in_app
F00171,U0757,S01626,2026-03-20,browse,1,It was hard to find pricing information,post_session_survey
F00172,U0118,S00039,2026-03-06,entry,2,There was too much lag during the early part of the session,in_app
F00173,U0483,S01231,2026-03-06,browse,3,I looked through a few sections and then left,in_app
F00174,U0485,S00555,2026-03-15,browse,3,The app worked fine but did not stand out,in_app
F00175,U0646,S01543,2026-03-05,pricing,5,The product information was clear and easy to explore,post_session_survey
F00176,U0633,S00428,2026-03-10,product_detail,1,There was too much lag during the early part of the session,in_app
F00177,U0747,S01656,2026-03-08,product_detail,5,I liked how detailed the content was once I found it,post_session_survey
F00178,U0331,S00934,2026-03-19,product_detail,4,The layout was easy to use,in_app
F00179,U0430,S02252,2026-03-12,entry,5,The product information was clear and easy to explore,post_session_survey
F00180,U0159,S00336,2026-03-16,application,3,Some parts were useful but others were average,in_app
F00181,U0461,S00826,2026-03-11,entry,5,I liked the spec panel and the experience felt engaging,in_app
F00182,U0124,S00277,2026-03-03,browse,3,The experience was okay overall,post_session_survey
F00183,U0238,S02222,2026-03-13,application,2,The app was slow and laggy on my phone,post_session_survey
F00184,U0779,S02106,2026-03-10,browse,1,The journey felt unclear and I was not sure where to go next,post_session_survey
F00185,U0411,S00629,2026-03-05,browse,1,Pricing details were buried and took too many clicks to reach,in_app
F00186,U0001,S01581,2026-03-05,browse,2,Loading felt too slow and made the experience frustrating,post_session_survey
F00187,U0559,S01962,2026-03-08,product_detail,4,The showroom experience felt interactive and fun,post_session_survey
F00188,U0745,S01335,2026-03-02,pricing,4,I found some information but did not continue further,in_app
F00189,U0520,S01275,2026-03-16,browse,3,I looked through a few sections and then left,in_app
F00190,U0626,S00592,2026-03-05,pricing,1,Navigation was confusing and I could not figure out the next step,post_session_survey
F00191,U0463,S00230,2026-03-06,product_detail,3,I looked through a few sections and then left,in_app
F00192,U0417,S02156,2026-03-01,application,4,The app worked fine but did not stand out,in_app
F00193,U0529,S02165,2026-03-01,product_detail,3,I found some information but did not continue further,in_app
F00194,U0408,S01513,2026-03-04,entry,1,I kept clicking around and still could not find the pricing page,in_app
F00195,U0176,S00821,2026-03-12,product_detail,1,The page response time felt slow on mobile,in_app
F00196,U0472,S00844,2026-03-01,browse,2,The page response time felt slow on mobile,post_session_survey
F00197,U0025,S01737,2026-03-13,entry,1,It was hard to find the information I needed,in_app
F00198,U0380,S02155,2026-03-02,application,4,The experience was okay overall,post_session_survey
F00199,U0031,S02129,2026-03-16,product_detail,3,The app worked fine but did not stand out,in_app
F00200,U0657,S01868,2026-03-05,entry,1,The 3D view looked interesting but performance was poor,post_session_survey
F00201,U0623,S01536,2026-03-16,product_detail,3,The app worked fine but did not stand out,in_app
F00202,U0206,S00207,2026-03-14,product_detail,3,Some parts were useful but others were average,in_app
F00203,U0029,S00395,2026-03-09,product_detail,1,The menu layout was not intuitive for a first-time user,in_app
F00204,U0471,S02160,2026-03-20,pricing,5,I liked the spec panel and the experience felt engaging,in_app
F00205,U0160,S01451,2026-03-14,entry,3,The experience was okay overall,post_session_survey
F00206,U0527,S00022,2026-03-09,pricing,1,The menu layout was not intuitive for a first-time user,post_session_survey
F00207,U0254,S00250,2026-03-03,pricing,1,The journey felt unclear and I was not sure where to go next,in_app
F00208,U0184,S01589,2026-03-17,pricing,3,I found some information but did not continue further,post_session_survey
F00209,U0311,S00012,2026-03-09,product_detail,2,I kept clicking around and still could not find the pricing page,post_session_survey
F00210,U0305,S00393,2026-03-12,pricing,2,It was hard to find pricing information,in_app
F00211,U0079,S01319,2026-03-04,browse,3,Some parts were useful but others were average,post_session_survey
F00212,U0627,S01659,2026-03-02,product_detail,3,I looked through a few sections and then left,in_app
F00213,U0030,S01560,2026-03-03,browse,4,It was easy to move from product details to pricing,in_app
F00214,U0263,S00549,2026-03-18,pricing,3,The app worked fine but did not stand out,in_app
F00215,U0083,S01703,2026-03-03,product_detail,3,I found some information but did not continue further,in_app
F00216,U0444,S00580,2026-03-12,browse,5,The showroom experience felt interactive and fun,in_app
F00217,U0207,S00788,2026-03-05,entry,2,I wanted to see pricing earlier in the journey,post_session_survey
F00218,U0146,S01787,2026-03-12,entry,3,Pricing details were buried and took too many clicks to reach,in_app
F00219,U0180,S01555,2026-03-11,entry,1,The 3D view looked interesting but performance was poor,in_app
F00220,U0614,S02037,2026-03-11,product_detail,1,I kept clicking around and still could not find the pricing page,in_app
F00221,U0457,S01576,2026-03-11,product_detail,5,The showroom experience felt interactive and fun,in_app
F00222,U0060,S01366,2026-03-15,application,3,I found some information but did not continue further,post_session_survey
F00223,U0761,S00232,2026-03-01,entry,3,I found some information but did not continue further,in_app
F00224,U0372,S00888,2026-03-05,product_detail,3,The experience was okay overall,in_app
F00225,U0524,S00645,2026-03-02,entry,1,The app was slow and laggy on my phone,post_session_survey
F00226,U0323,S00597,2026-03-03,entry,2,The pricing page was not easy to discover,in_app
F00227,U0675,S02335,2026-03-11,browse,3,The experience was okay overall,in_app
F00228,U0025,S00948,2026-03-07,product_detail,3,The app worked fine but did not stand out,in_app
F00229,U0259,S02142,2026-03-01,pricing,2,It was hard to find the information I needed,in_app
F00230,U0671,S01509,2026-03-11,browse,3,The experience was okay overall,in_app
F00231,U0456,S01904,2026-03-20,entry,4,I looked through a few sections and then left,in_app
F00232,U0612,S01209,2026-03-20,entry,3,I found some information but did not continue further,in_app
F00233,U0346,S01385,2026-03-17,entry,1,It was hard to find pricing information,post_session_survey
F00234,U0758,S01187,2026-03-02,product_detail,5,I could find the information I needed quickly,post_session_survey
F00235,U0495,S00477,2026-03-02,product_detail,5,I liked the spec panel and the experience felt engaging,in_app
F00236,U0381,S01730,2026-03-20,browse,1,There was too much lag during the early part of the session,in_app
F00237,U0756,S00682,2026-03-08,product_detail,3,The experience was okay overall,in_app
F00238,U0004,S00055,2026-03-17,pricing,3,The experience was okay overall,in_app
F00239,U0339,S01544,2026-03-11,pricing,3,The app worked fine but did not stand out,in_app
F00240,U0575,S00434,2026-03-19,entry,2,I kept clicking around and still could not find the pricing page,in_app
F00241,U0592,S02259,2026-03-15,entry,3,I looked through a few sections and then left,post_session_survey
F00242,U0411,S02291,2026-03-02,browse,1,The journey felt unclear and I was not sure where to go next,in_app
F00243,U0644,S02198,2026-03-03,browse,5,The showroom experience felt interactive and fun,post_session_survey
F00244,U0712,S00894,2026-03-10,entry,1,Loading felt too slow and made the experience frustrating,in_app
F00245,U0622,S00037,2026-03-11,product_detail,2,The page response time felt slow on mobile,post_session_survey
F00246,U0432,S02233,2026-03-20,product_detail,2,The pricing page was not easy to discover,in_app
F00247,U0403,S01036,2026-03-13,pricing,2,The pricing page was not easy to discover,in_app
F00248,U0334,S02319,2026-03-07,browse,5,The 3D model was realistic and useful,in_app
F00249,U0142,S02313,2026-03-08,browse,2,The 3D view looked interesting but performance was poor,post_session_survey
F00250,U0400,S02046,2026-03-06,product_detail,5,The layout was easy to use,post_session_survey
F00251,U0401,S00717,2026-03-04,entry,2,The pricing page was not easy to discover,in_app
F00252,U0437,S00931,2026-03-19,entry,3,Some parts were useful but others were average,post_session_survey
F00253,U0296,S02041,2026-03-03,browse,1,The menu layout was not intuitive for a first-time user,post_session_survey
F00254,U0728,S00770,2026-03-05,entry,2,The page response time felt slow on mobile,in_app
F00255,U0203,S00415,2026-03-17,pricing,5,The product information was clear and easy to explore,in_app
F00256,U0605,S01339,2026-03-18,entry,2,The journey felt unclear and I was not sure where to go next,post_session_survey
F00257,U0153,S02251,2026-03-03,entry,2,The menu layout was not intuitive for a first-time user,in_app
F00258,U0762,S01667,2026-03-17,browse,3,I found some information but did not continue further,in_app
F00259,U0317,S01369,2026-03-17,application,4,I looked through a few sections and then left,in_app
F00260,U0570,S00240,2026-03-07,entry,3,I looked through a few sections and then left,in_app
F00261,U0121,S01471,2026-03-04,pricing,1,The 3D view looked interesting but performance was poor,in_app
F00262,U0231,S02376,2026-03-07,product_detail,5,It was easy to move from product details to pricing,in_app
F00263,U0709,S00342,2026-03-17,entry,3,I looked through a few sections and then left,post_session_survey
F00264,U0449,S01246,2026-03-18,entry,5,I liked how detailed the content was once I found it,post_session_survey
F00265,U0208,S02107,2026-03-14,browse,1,The 3D view looked interesting but performance was poor,post_session_survey
F00266,U0305,S01772,2026-03-08,application,5,I liked how detailed the content was once I found it,post_session_survey
F00267,U0410,S01669,2026-03-16,entry,1,The journey felt unclear and I was not sure where to go next,in_app
F00268,U0610,S01681,2026-03-02,browse,3,Some parts were useful but others were average,in_app
F00269,U0760,S00870,2026-03-08,product_detail,5,The steps were clear and easy to follow,in_app
F00270,U0114,S00715,2026-03-05,browse,3,The app worked fine but did not stand out,post_session_survey
F00271,U0130,S01940,2026-03-03,entry,3,I looked through a few sections and then left,post_session_survey
F00272,U0271,S01942,2026-03-11,browse,3,Some parts were useful but others were average,post_session_survey
F00273,U0414,S02081,2026-03-10,entry,2,Loading felt too slow and made the experience frustrating,in_app
F00274,U0414,S02194,2026-03-02,entry,4,I liked the spec panel and the experience felt engaging,post_session_survey
F00275,U0614,S01229,2026-03-12,product_detail,3,I found some information but did not continue further,post_session_survey
F00276,U0484,S01206,2026-03-14,entry,1,I kept clicking around and still could not find the pricing page,post_session_survey
F00277,U0428,S01912,2026-03-04,product_detail,1,Navigation was confusing and I could not figure out the next step,in_app
F00278,U0674,S01556,2026-03-18,entry,4,Some parts were useful but others were average,in_app
F00279,U0610,S01681,2026-03-02,browse,1,There was too much lag during the early part of the session,post_session_survey
F00280,U0458,S01906,2026-03-14,entry,3,I looked through a few sections and then left,post_session_survey
F00281,U0401,S02137,2026-03-16,entry,1,It was hard to find the information I needed,post_session_survey
F00282,U0310,S00818,2026-03-12,entry,3,The app worked fine but did not stand out,post_session_survey
F00283,U0186,S00908,2026-03-06,browse,2,Navigation was confusing and I could not figure out the next step,post_session_survey
F00284,U0761,S00232,2026-03-01,entry,3,The experience was okay overall,in_app
F00285,U0634,S01389,2026-03-16,browse,4,Some parts were useful but others were average,post_session_survey
F00286,U0224,S00084,2026-03-16,browse,3,I looked through a few sections and then left,post_session_survey
F00287,U0073,S01122,2026-03-16,pricing,2,Pricing details were buried and took too many clicks to reach,in_app
F00288,U0005,S01306,2026-03-07,entry,4,The experience was okay overall,in_app
F00289,U0711,S00697,2026-03-16,entry,5,I liked how detailed the content was once I found it,in_app
F00290,U0630,S01418,2026-03-17,browse,3,The app worked fine but did not stand out,in_app
F00291,U0317,S00070,2026-03-07,entry,2,The 3D view looked interesting but performance was poor,in_app
F00292,U0466,S00087,2026-03-18,product_detail,2,The app was slow and laggy on my phone,post_session_survey
F00293,U0395,S01975,2026-03-07,browse,2,The app was slow and laggy on my phone,in_app
F00294,U0182,S00872,2026-03-19,entry,3,I found some information but did not continue further,post_session_survey
F00295,U0233,S00309,2026-03-20,product_detail,5,The showroom experience felt interactive and fun,in_app
F00296,U0794,S01256,2026-03-03,entry,1,The page response time felt slow on mobile,in_app
F00297,U0028,S01844,2026-03-01,entry,1,It was hard to find the information I needed,in_app
F00298,U0047,S00529,2026-03-18,entry,3,The experience was okay overall,post_session_survey
F00299,U0459,S01489,2026-03-20,pricing,2,The 3D view looked interesting but performance was poor,in_app
F00300,U0424,S00210,2026-03-07,browse,3,I found some information but did not continue further,in_app
F00301,U0702,S00124,2026-03-01,application,3,I looked through a few sections and then left,in_app
F00302,U0039,S01278,2026-03-08,entry,1,The 3D view looked interesting but performance was poor,in_app
F00303,U0242,S01301,2026-03-14,product_detail,4,The experience was okay overall,post_session_survey
F00304,U0134,S01523,2026-03-07,product_detail,2,Loading felt too slow and made the experience frustrating,in_app
F00305,U0025,S01737,2026-03-13,entry,3,Some parts were useful but others were average,post_session_survey
F00306,U0604,S02341,2026-03-16,browse,3,Some parts were useful but others were average,in_app
F00307,U0343,S01239,2026-03-07,entry,2,There was too much lag during the early part of the session,in_app
F00308,U0015,S00782,2026-03-01,entry,3,I found some information but did not continue further,post_session_survey
F00309,U0395,S01905,2026-03-12,entry,4,Some parts were useful but others were average,in_app
F00310,U0760,S00657,2026-03-04,browse,3,Some parts were useful but others were average,in_app
F00311,U0391,S01060,2026-03-04,application,3,I found some information but did not continue further,post_session_survey
F00312,U0405,S00192,2026-03-03,entry,2,There was too much lag during the early part of the session,in_app
F00313,U0487,S00057,2026-03-02,pricing,2,The 3D view looked interesting but performance was poor,in_app
F00314,U0573,S02310,2026-03-06,pricing,3,I had trouble locating cost information quickly,post_session_survey
F00315,U0454,S02008,2026-03-20,application,1,I had trouble locating cost information quickly,post_session_survey
F00316,U0213,S01666,2026-03-15,pricing,4,I looked through a few sections and then left,post_session_survey
F00317,U0707,S00987,2026-03-18,entry,4,The experience was okay overall,in_app
F00318,U0357,S00424,2026-03-01,entry,4,It was easy to move from product details to pricing,post_session_survey
F00319,U0493,S00382,2026-03-06,entry,4,I looked through a few sections and then left,in_app
F00320,U0223,S00611,2026-03-15,product_detail,3,The experience was okay overall,post_session_survey
